Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Lumberjack Willy 4Fx,Lumberjack,13990.0,24990.0,44.0,Lumberjack обувь для бега,WILLY 4FX,Мужчины,Белый,Текстиль,11000.0,0.0,Budget,0
Lumberjack Santorini 4Fx,Lumberjack,17990.0,22990.0,22.0,Lumberjack обувь для бега,SANTORINI 4FX,Мужчины,Черный,Текстиль,5000.0,4000.0,Mid-range,0
Us Polo Assn Martha 4Fx,U.S. Polo Assn.,8990.0,25990.0,65.0,U.S. Polo Assn. кроссовки,MARTHA 4FX,Женщины,Черный,кожа,17000.0,-11000.0,Budget,0
Lumberjack MaclarenboyfInt 4Fx,Lumberjack,8990.0,9990.0,10.0,Lumberjack сандалии,MACLARENBOY.F-INT 4FX,Мальчик,Синий,Текстиль,1000.0,-5000.0,Budget,0
I Cool SucreInt 4Fx,I Cool,9990.0,10990.0,0.0,I Cool сандалии,SUCRE-INT 4FX,Мальчик,Серый,кожа,1000.0,1000.0,Budget,0
Polaris Nks 5 Li PtkW 4Fx    5,Polaris,2490.0,3490.0,29.0,Polaris носки,NKS 5 LI PTK-W 4FX,Женщины,Разноцветный,Текстиль,1000.0,-5500.0,Budget,0
Lumberjack Alisa 4Fx  005,Lumberjack,9990.0,18990.0,47.0,Lumberjack сандалии,ALISA 4FX,Женщины,Оранжевый,Текстиль,9000.0,-4000.0,Budget,0
Kinetix MosbyboyfInt 4Fx,Kinetix,9990.0,14990.0,33.0,Kinetix кроссовки,MOSBYBOY.F-INT 4FX,Мальчик,Черный,Текстиль,5000.0,-3000.0,Budget,0
Kinetix MuslerabInt 4Fx,Kinetix,6390.0,8990.0,29.0,Kinetix сандалии,MUSLERA.B-INT 4FX,Мальчик,Синий,кожа,2600.0,-6600.0,Budget,0
Kinetix Ml Kevin 16Sn753 4Fx,Kinetix,4990.0,7990.0,38.0,Kinetix свитшот,ML KEVIN 16SN753 4FX,Мужчины,Черный,Полиамид,3000.0,-8000.0,Budget,0
Lumberjack JoeyInt 4Fx,Lumberjack,14990.0,16990.0,12.0,Lumberjack обувь для бега,JOEY-INT 4FX,Мальчик,Синий,Текстиль,2000.0,1000.0,Budget,0
Kinetix HandsomepInt 4Fx,Kinetix,8990.0,10990.0,18.0,Kinetix сандалии,HANDSOME.P-INT 4FX,Мальчик,Черный,кожа,2000.0,-4000.0,Budget,0
